title,date,master,production,category,cast,notes,format,tags,url,encora
Starlight Express,2001-00-00,Unknown,West End,audio,"Mark McGee (Rusty), Paul Baker (Rusty), Paul Whitaker (u/s Rusty), Jo Gibb (Pearl), Shelley Meredith (Pearl), Claudia Bradley (Pearl), Dustin Dubreuil (Greaseball), Nigel Casey (Greaseball), Tony Rouse (Greaseball), Richard Mylan (Electra), Richard Woodford (u/s Electra), Craig Cameron (u/s Electra), Lon Satton (Poppa), Attlee Baptiste (u/s Poppa), Trevor Michael Georges (Poppa), Caron Cardelle (Dinah), Helen Latham (Dinah), Gael Johnson (Buffy), Emma Dodd (u/s Buffy), Nikki Belsher (u/s Buffy), Samantha Lane (Ashley), Lucie Fentum (Ashley), Dawn Buckland (u/s Ashley), Dale Branston (Dustin)",,,,,15589
Starlight Express,1992-09-19,Unknown,West End,audio,"Greg Ellis (Rusty), Reva Rice (Pearl), Mark Walker (Greaseball), John Partridge (Electra), Lon Satton (Poppa), Dawn Buckland (Dinah), Voyd (Buffy), Samantha Lane (Ashley)",,,,,15608
The Phantom of the Opera (Andrew Lloyd Webber),2014-10-11,pheelmysoulonphire,West End,audio,"Gerónimo Rauch (The Phantom of the Opera), Emmi Christensson (alt Christine Daaé), Liam Tamne (Raoul de Chagny), Lara Martins (Carlotta Giudicelli), Andy Hockley (Monsieur Firmin), Martin Ball (Monsieur André), Shena Sanders (u/s Madame Giry), David Francis (u/s Ubaldo Piangi), Alicia Beck (Meg Giry)",,,,,15699
School of Rock,2016-07-22,coffeeisthebesttrades,Broadway,audio,"Alex Brightman (Dewey Finn), Sierra Boggess (Rosalie Mullins), Spencer Moses (Ned Schneebly), Mamie Parris (Patty), Isabella Russo (Summer), Bobbi MacKenzie (Tomika), Shahadi Wright Joseph (u/s Tomika), Brandon Niederauer (Zack), Diego Lucano (Lawrence), Raghav Mehrotra (Freddy), Evie Dolan (Katie), Luca Padovan (Billy), Gianna Harris (Shonelle), Carly Gendell (Marcy), Ethan Khusidman (Mason), Gabby Gutierrez (Sophie), Shahadi Wright Joseph (Madison), Ava Della Pietra (u/s Madison), John Arthur Greene (Theo), Josh Tower (Snake), Josh Tower (Mr. Mooneyham), Jersey Sullivan (Ensemble), Steven Booth (Ensemble), Cassie Okenka (Ensemble), Emily Cramer (Ensemble), Michael Hartney (Ensemble), John Hemphill (Ensemble), Merritt David Janes (Ensemble), Jaygee Macapugay (Ensemble), Jesse Swimm (Ensemble), Will Blum (Ensemble), Natalie Charle Ellis (Ensemble)",,MP3 (untracked) - 130 MB,,,15756
The Phantom of the Opera (Andrew Lloyd Webber),2007-07-01,Unknown,Japanese Tour,video,"Masayuki Sano (The Phantom of the Opera), Tamami Sai (Christine Daaé), 北澤裕輔 Yusuke Kitazawa (Raoul de Chagny), Miki Tanegashima (Carlotta Giudicelli), Masanori Koizumi (Monsieur Firmin), Kazuo Hayashi (Monsieur André), Aiko Toda (Madame Giry), Shunichiro Hanba (Ubaldo Piangi), Kaori Arai (Meg Giry)",,,,,15835
The Phantom of the Opera (Andrew Lloyd Webber),2008-06-30,Unknown,Japanese Tour,audio,"Osamu Takai (The Phantom of the Opera), Shiho Ito (Christine Daaé), 北澤裕輔 Yusuke Kitazawa (Raoul de Chagny), Miki Tanegashima (Carlotta Giudicelli), Masanori Koizumi (Monsieur Firmin), Morito Masuda (Monsieur André), Aiko Toda (Madame Giry), Shunichiro Hanba (Ubaldo Piangi), Yuria Nishida (Meg Giry)",,,,,15842
The Phantom of the Opera (Andrew Lloyd Webber),2014-01-17,Unknown,Japanese Tour,audio,"Osamu Takai (The Phantom of the Opera), Haru Kasamatsu (Christine Daaé), Yoshihiro Kishi (Raoul de Chagny)",,,,,15878
Starlight Express,1988-00-00,pro-shot,West End,video,"Mykal Rand (u/s Rusty), Kim Leeson (Pearl), Drue Williams (Greaseball), Maynard Williams (u/s Poppa), Dawn Buckland (u/s Dinah), Shezwae Powell (Memphis Belle the Sleeping Car), Peter Reeves (Caboose)",,VOB (with smalls) (SD),,,16192
Starlight Express,1989-01-08,Unknown,Broadway,video,"Greg Mowry (Rusty), Reva Rice (Pearl), Jane Krakowski (Dinah), Todd Lester (Caboose), Michael Scott Gregory (Dustin)",,VOB + smalls - 3.44 GB and M4V - 1.99 GB,,,16193
The View UpStairs,2019-07-18,fleaswillbite,London,audio,"Tyrone Huntley (Wes), Carly Mercedes Dyer (Henri), John Partridge (Buddy), Declan Bennett (Dale), Garry Lee (Freddy), Victoria Hamilton-Barritt (Inez), Joseph Prouse (Richard), Andy Mientus (Patrick), Cedric Neal (Willie), Joseph Prouse (Rita Mae), Derek Hagen (Cop), Derek Hagen (Realtor)",,,,,16742
Cats,1984-06-00,Unknown,Broadway,audio,"Laurie Beechman (Grizabella), Kevin Marcum (Old Deuteronomy), Marlene Danielle (Bombalurina), Claude Tessier (Munkustrap), Terrence Mann (Rum Tum Tugger), Jane Bodle (Demeter), Michael Scott Gregory (Skimbleshanks), Joe Antony Cavise (Mungojerrie), Paige Dana (Rumpleteazer), Anna McNeely (Jennyanydots), Herman Sebek (Mr. Mistoffelees), Scott Wise (Macavity), Scott Wise (Plato), Joe Antony Cavise (Coricopat), Paige Dana (Etcetera)",,Untracked MP3 (80.0MB),,,17130
Cats,2009-08-08,Unknown,Asia-Pacific Tour,audio,"Delia Hannah (Grizabella), John Ellis (Old Deuteronomy), Micharl-John Hurney (Gus), Monique Chanel Pitsikas (Bombalurina), Shaun Rennie (Munkustrap), John O'Hara (Rum Tum Tugger), Renee Burleigh (Demeter), Emily Keane (Cassandra), Markham Gannon (Skimbleshanks), Micharl-John Hurney (Bustopher Jones), Brenton Wilson (Mungojerrie), Justine Puy (Rumpleteazer), Lisa-Marie Parker (Jellylorum), Laura McCulloch (Jennyanydots), Adrian Ricks (Mr. Mistoffelees), Andrew Dunne (Macavity), Glen Oliver (u/s Alonzo), Micharl-John Hurney (Growltiger), Andrew Dunne (Admetus), Sharyn Winnie (Jemima), Caleb Bartolo (Pouncival), Erin James (u/s Tantomile), Mischana Dellora-Cornish (Victoria), Darren Tyler (Coricopat), Brian Gillespie (George)",,Tracked MP3 (140.1MB),,,17135
Evita,1981-01-10,soundboard,Broadway,audio,"Patti LuPone (Eva Perón), James Stein (Che), David Cryer (Perón), James Whitson (Magaldi), Cynthia Hunt (Perón's Mistress)",,,,,17370
The Phantom of the Opera (Andrew Lloyd Webber),2007-04-20,Unknown,Japanese Tour,audio,"Osamu Takai (The Phantom of the Opera), Asako Tomada (Christine Daaé), Ryota Suzuki (Raoul de Chagny)",,,,,17843
Starlight Express,2002-01-12,Unknown,West End,video,"Mark McGee (Rusty), Jo Gibb (Pearl), Dustin Dubreuil (Greaseball), Chris Copeland (Electra), Trevor Michael Georges (Poppa), Helen Latham (Dinah), Amy Field (Buffy), Lucie Fentum (Ashley), Dale Branston (Dustin), Ross Dawes (Flat Top), Scott Murtaugh (Rocky 1), Leo Bidwell (Rocky 2), Algernon Williams (Rocky 3), Craig Scott (Ruhrgold), Richard Twyman (s/w Espresso), Mark Oxtoby (Turnov), Richard Woodford (Bobo), Paul Ramsay (Nintendo), Martin Neely (Prince of Wales), Emma Dodd (Joule), Louise Jones (Volta), Kate Alexander (Wrench), Todd Talbot (Purse), Richard Ray-Allen (Krupp)",,,,,17871
"Natasha, Pierre & The Great Comet of 1812",2019-01-19,Unknown,Japan (Toho),audio,"Erika Ikuta (Natasha), Yoshio Inoue (Pierre), Rinko Matsubara (Sonya), Kaoru Harada (Marya D.), Ryosei Konishi (Anatole), Hiromu Kiriya (Hélène), Kouki Mizuta (Dolokhov), Shinji Takeda (Bolkonsky), Shoko Haida (Mary), Meili Mu (Balaga), Shinji Takeda (Andrey), Shoko Haida (Opera Singer), Shoko Haida (Maidservant), Daisuke Moriyama (Ensemble), Shinichiro Kogure (Ensemble), Alyssa Chetrick (Ensemble), Momoko Aida (Ensemble), Kayo Aguri (Ensemble), Yasuhiro Yamano (Ensemble), Gen Yamada (Ensemble), Nao Tsukamoto (Ensemble), Momoko Takeda (Ensemble), Marie Sugaya (Ensemble), Shoko Sakai (Ensemble), Sayu Otsuki (Ensemble), Takumi Omine (Ensemble), Hannah Muramatsu (Ensemble)",,,,,18197
Rebecca,2012-06-24,cynicale,Stuttgart,audio,"Valerie Link (""Ich""), Jan Ammann (Maxim de Winter), Pia Douwes (Mrs. Danvers), Udo Eickelmann (u/s Jack Favell), Gerd Achilles (u/s Frank Crawley), Kerstin Ibald (Beatrice), Daniele Nonnis (Ben), Isabel Dörfler (Mrs. Van Hopper), Raphael Dörr (u/s Giles), Raphael Dörr (u/s Horridge), Christina Patten (Clarice), Christian Kerkhoff (s/w Frith), Erwin Bruhn (Oberst Julyan), Fehmi Göklü (Robert), Wiebke Wötzel (Ensemble), Michaela Schober (Ensemble), Denise Jastraunig (Ensemble), Mona Graw (Ensemble), Hendrik Schall (Ensemble), Christoph Apfelbeck (Ensemble), Petra Clauwens (s/w Ensemble), Christina Maria Brenner (s/w Ensemble), Helena Blöcker (s/w Ensemble), Jakub Wocial (s/w Ensemble), Alex Bellinkx (s/w Ensemble)","Great performance from all three leads, though it in Jan's case might not always come across properly on audio. A bit better in terms of quality, but the difference is usually not all that dramatic.",,,,18274
Chicago,2003-08-14,Unknown,First West End Revival,video,"Linzi Hateley (Roxie Hart), Ruthie Henshall (Velma Kelly), Rolf Saxon (Billy Flynn), Norman Pace (Amos Hart), Zee Asha (Matron ""Mama"" Morton)",,,,,18493
The Hunchback of Notre Dame (Disney),2018-06-17,sugarsbuttertrades,5th Avenue Theatre,audio,"Joshua Castille (Quasimodo), Dan'yelle Williamson (Esmeralda), Allen Fitzpatrick (Claude Frollo), Brandon O'Neill (Captain Phoebus de Martin), Dane Stockinger (Clopin Trouillefou)",,,,,19210
Jesus Christ Superstar,1998-12-00,Unknown,"Nyack, NY",video,"Billy Porter (Jesus Christ), Drew Sarich (Judas Iscariot), Emily Skinner (Mary Magdalene), Robert Aronson (Pontius Pilate), Nathan Lee Graham (King Herod)",,,,,19269
Starlight Express,2019-06-15,Unknown,"Bochum, Germany",audio,"Markus Fetter (Rusty), Hollie Aires (Pearl), Ben Carruthers (Greaseball), Adam Lake (Electra), Reva Rice (Momma), Rose Ouellette (Dinah), Sian Jones (u/s Belle the Bar Car), Emilie du Leslay (Carrie), Daniel Ellison (Caboose), Christian Jones (Dustin), Charles Butcher (Flat Top), Isaac Edwards (Rocky 1), Tom Nihill (Ruhrgold), Terence Uphoff (Espresso), Whitney Martins (Coco), Jamie Landmann (Brexit), Jamie Sidhom (Manga), Jae Red Lempriere | RED (Turnov), Hollie Jane Stephens (Joule), Halimah Kyrgios (Wrench), Dennis Spee (Killerwatt), Etienne Vogel (Trax 1), Jeremy Suarez (Trax 2)",,Untracked M4A - 60 MB,,,19391
Joseph and the Amazing Technicolor Dreamcoat,2019-07-17,magicinthemess,Fourth West End Revival,audio,"Jac Yarrow (Joseph), Sheridan Smith (Narrator), Sheridan Smith (Jacob), Jason Donovan (Pharaoh), Richard Carson (Reuben), Michael Pickering (Simeon), Femi Akinfolarin (Dan), Jack Wilcox (Napthali), J.R. Ballantyne (Asher), Carl Spencer (Issachar), Harriet Samuel Gray (Reuben's Wife), Casey Al-Shaqsy (Simeon's Wife), Thalia Burt (Levi's Wife), Georgina Parkinson (Dan's Wife), Emily Ann Potter (Naphtali's Wife), Vanessa Fisher (Asher's Wife), Kelsie-Rae Marshall (Issachar's Wife), Matt Krzan (Guard)","Sheridan Smith has the time of her life playing the Narrator (as well as Jacob and Mrs Potiphar) in this crazy and energetic staging at the London Palladium, and a lot of the laughs you can hear are in reaction to something she's doing onstage. Jac is unbelievably talented in this role, which marks his professional debut. Blythe and I'm pretty sure Hannah were on in the ensemble, but I couldn't tell/find out who they were in for, and I'm not sure which of the children were in this performance. Joseph Megamix is missing the first couple seconds of the intro.",,,,19696
Jesus Christ Superstar,2017-01-16,heartofstonetrades,Highline Ballroom,audio,"Morgan James (Jesus Christ), Shoshana Bean (Judas Iscariot), Alex Newell (Mary Magdalene), Orfeh (Pontius Pilate), Debbie Shapiro Gravitte (Caiaphas), Bryonha Marie Parham (Annas), Pearl Sun (Peter), Shayna Steele (Simon Zealotes), Ann Harada (King Herod)",,,,,19900
Sunset Boulevard,1994-03-12,Unknown,West End,audio,"Patti LuPone (Norma Desmond), Gerard Casey (Joe Gillis), Daniel Benzali (Max Von Mayerling)",,Tracked MP3 (197.8MB),,,19979
Tanz der Vampire,2012-01-19,Unknown,Berlin Revival,video,"Drew Sarich (Graf von Krolock), Amelie Dobler (Sarah), Anton Zetterholm (Alfred), Veit Schäfermeier (Professor Abronsius), Kai Hüsgen (Chagal), Goele de Raedt (Magda), Marc Liebisch (Herbert von Krolock)",,VOB with smalls (4.20GB),,,20112
Rebecca,2017-00-00,Rumpel,Tecklenburg,video,"Milica Jovanović (""Ich""), Jan Ammann (Maxim de Winter), Pia Douwes (Mrs. Danvers), Robert Meyer (Jack Favell), Thomas Hohler (Frank Crawley), Roberta Valentini (Beatrice), Christian Fröhlich (Ben), Anne Welte (Mrs. Van Hopper)",,,,,20255
Mozart! das Musical,2016-02-26,pro-shot,Second Vienna Revival,video,"Oedo Kuipers (Wolfgang Mozart), Thomas Borchert (Leopold Mozart), Mark Seibert (Colloredo), Franziska Schuster (Constanze Weber), Ana Milva Gomes (Baronin von Waldstätten), Barbara Obermeier (Nannerl Mozart), Brigitte Oelke (Cäcilia Weber), Jon Geoffrey Goldsworthy (Karl Joseph Graf Arco), Martin Pasching (u/s Emanuel Schikaneder), Stefan Poslovski (Fridolin Weber), Sophie Wilfert (Amadé), Stefan Poslovski (Johann Thorwart), Jil Clesse (u/s Anna Maria Mozart), Abla Alaoui (Ensemble)",,,,,20464
Equus,2008-12-16,Unknown,First Broadway Revival,video,"Daniel Radcliffe (Alan Strang), Richard Griffiths (Martin Dysart)",,,,,21012
Oklahoma!,2019-10-23,musain,Fifth Broadway Revival,video,"Damon Daunno (Curly McLain), Rebecca Naomi Jones (Laurey Williams), Mary Testa (Aunt Eller Murphy), James Davis (Will Parker), Patrick Vaill (Jud Fry), Sasha Hutchings (alt Ado Annie), Will Brill (Ali Hakim), Anthony Cason (Cord Elam), Chelsea Lee Williams (u/s Gertie Cummings), Mitch Tebo (Andrew Carnes), Will Mann (Mike), Demetia Hopkins-Greene (alt Lead Dancer)","Blind lapshot with no zooms, and there are frequently two heads in the way, and the angle is occasionally lopsided slightly. Other issues: Curly being out of the shot for most of The Surrey With The Fringe On Top; shakiness and my hands/playbill being visible during applause breaks because I had to clap; head obstruction during I Caint Say No; some floorshots during Dream Ballet; mic feedback during louder parts; and random bits where I was focusing on the wrong thing/person due to shooting blind. Theres also some parts where the audio cuts off for a second, doesn't perfectly align with the frames, or the video freezes or goes dark while the audio keeps playing. Neither of these glitches last for more than a second, but still must be noted.",MP4 (13.18GB),,,21088
Jekyll and Hyde (Wildhorn),2001-00-00,pro-shot,"Fuengirola, Spain",video,"Paco Arrojo (Dr. Henry Jekyll), Paco Arrojo (Edward Hyde), Lorena Calero (Lucy Harris), María José Oquendo (Emma Carew), Enrique Sequero (Gabriel John Utterson), Miguel Angel Gamero (Simon Stride), Edu del Prado (Spider), María José Oquendo (Lisa Carew), Edu del Prado (Sir Archibald Proops)",,,,,21793
Six,2019-11-00,hitmewithyourbethshot,Second UK Tour,video,"Lauren Drew (Catherine of Aragon), Maddison Bulleyment (Anne Boleyn), Lauren Byrne (Jane Seymour), Shekinah McFarlane (Anna of Cleves), Jodie Steele (Katherine Howard), Athena Collins (Catherine Parr)",Includes Megasix (MOV),MTS (8.69GB),,,21924
